,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,track_name,track_duration,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_date,target,position,chart_date,country,chart_type,chart_trend,song_streams,decade
1817198,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,92,19854841,pop,We Can't Stop,3.854,77,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,2013-10-04,1,153,2018-03-08,Ireland,top200,NEW_ENTRY,4538.0,2010s
225676,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,92,110157382,pop,Thinking out Loud,4.692666666666667,62,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,2013-01-01,0,109,2017-01-01,Australia,top200,MOVE_UP,16061.0,2010s
446836,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,92,21438135,artpop,Diet Mountain Dew,3.715333333333333,65,0.442,0.68,10,-5.971,0,0.0858,0.284,0.0,0.421,0.601,176.09,2012-01-01,0,59,2021-07-01,Saudi Arabia,top200,MOVE_UP,4339.0,2010s
570396,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,92,70281704,canadianpop,Sorry,3.346433333333333,79,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,2015-11-13,1,127,2017-01-01,Argentina,top200,MOVE_DOWN,19775.0,2010s
445815,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,92,21438135,artpop,Summertime Sadness,4.412883333333333,72,0.566,0.647,1,-6.815,0,0.0335,0.0477,0.0,0.121,0.22,111.96,2012-01-01,0,20,2017-08-02,Andorra,viral50,NEW_ENTRY,72000.0,2010s
445823,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,92,21438135,artpop,Young And Beautiful,3.9342166666666665,80,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,2013-01-01,1,158,2017-01-02,Czech Republic,top200,NEW_ENTRY,1086.0,2010s
445887,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,92,21438135,artpop,Doin' Time,3.369866666666667,80,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,2019-08-30,1,116,2019-06-01,Greece,top200,MOVE_UP,1748.0,2010s
446752,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,92,21438135,artpop,Cinnamon Girl,5.011383333333334,77,0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,2019-08-30,1,197,2019-09-01,Canada,top200,MOVE_DOWN,28305.0,2010s
795062,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,88315482,dancepop,7 rings,2.9771,82,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,2019-02-08,1,182,2020-05-01,Canada,top200,MOVE_DOWN,31660.0,2010s
550479,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,92,70281704,canadianpop,Ghost,2.553166666666667,83,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,2021-03-19,1,189,2021-04-01,Australia,top200,MOVE_DOWN,35915.0,2020s
